wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-05770,ITEM-01009,5,254.0,318.0,254.0,275.04272916666645,21.042729166666447,False,0.0
WO-05330,ITEM-03234,1,271.0,364.0,271.0,275.0625,4.0625,False,0.0
WO-04846,ITEM-02610,1,245.0,301.0,245.0,275.0625,30.0625,False,0.0
WO-03223,ITEM-00620,12,265.0,286.0,265.0,275.0625,10.0625,False,0.0
WO-03491,ITEM-01009,5,252.0,315.0,252.0,275.06614583333334,23.066145833333337,False,0.0
WO-03475,ITEM-01009,5,253.0,316.0,253.0,275.06614583333334,22.066145833333337,False,0.0
WO-03785,ITEM-01031,45,257.0,299.0,257.0,275.0729166666667,18.072916666666686,False,0.0
WO-05270,ITEM-01031,45,257.0,299.0,257.0,275.0729166666667,18.072916666666686,False,0.0
WO-05514,ITEM-01023,12,257.0,306.0,257.0,275.09583333333336,18.09583333333336,False,0.0
WO-05152,ITEM-03188,4,257.0,348.0,257.0,275.1126736111111,18.11267361111112,False,0.0
WO-06121,ITEM-00819,7,261.0,310.0,261.0,275.1147569444445,14.11475694444448,False,0.0
WO-03440,ITEM-01191,30,259.0,315.0,259.0,275.13559027777785,16.13559027777785,False,0.0
WO-05367,ITEM-00233,12,246.0,295.0,246.0,275.1565972222222,29.156597222222217,False,0.0
WO-04137,ITEM-00428,5,260.0,344.0,260.0,275.1565972222222,15.156597222222217,False,0.0
WO-02129,ITEM-00255,16,240.0,305.0,240.0,275.2189791666667,35.21897916666671,False,0.0
WO-03871,ITEM-00919,12,233.0,303.0,233.0,275.2815972222222,42.28159722222222,False,0.0
WO-03682,ITEM-00396,16,245.0,287.0,245.0,275.3043402777778,30.304340277777783,False,0.0
WO-00105,ITEM-00152,30,240.0,289.0,240.0,275.3125,35.3125,False,0.0
WO-06966,ITEM-02610,1,250.0,313.0,250.0,275.31718750000005,25.317187500000045,False,0.0
WO-03043,ITEM-01294,8,251.0,293.0,251.0,275.3550347222222,24.35503472222217,False,0.0
WO-06783,ITEM-02025,24,260.0,288.0,260.0,275.37899305555555,15.378993055555554,False,0.0
WO-04572,ITEM-00475,10,264.0,299.0,264.0,275.47708333333316,11.477083333333155,False,0.0
WO-06819,ITEM-02258,12,265.0,286.0,265.0,275.4880208333333,10.48802083333328,False,0.0
WO-05649,ITEM-02618,2,257.0,299.0,257.0,275.52222222222207,18.52222222222207,False,0.0
WO-06617,ITEM-01972,44,264.0,306.0,264.0,275.5965277777778,11.596527777777794,False,0.0
WO-01220,ITEM-00175,30,257.0,299.0,257.0,275.6046875,18.60468750000001,False,0.0
WO-03297,ITEM-00663,2,268.0,289.0,268.0,275.6046875,7.604687500000011,False,0.0
WO-01402,ITEM-00175,30,257.0,299.0,257.0,275.6046875,18.60468750000001,False,0.0
WO-04610,ITEM-02955,3,261.0,303.0,261.0,275.7505208333334,14.750520833333383,False,0.0
WO-04678,ITEM-01010,12,246.0,302.0,246.0,275.7692708333334,29.769270833333394,False,0.0
WO-03143,ITEM-00039,1,240.0,304.0,240.0,275.7793402777776,35.77934027777758,False,0.0
WO-05715,ITEM-01231,20,264.0,306.0,264.0,275.8295347222222,11.829534722222206,False,0.0
WO-02114,ITEM-00786,4,268.0,289.0,268.0,275.85850694444446,7.858506944444457,False,0.0
WO-06349,ITEM-02686,10,264.0,306.0,264.0,275.9340486111111,11.934048611111109,False,0.0
WO-06311,ITEM-03441,10,261.0,303.0,261.0,275.95334027777756,14.953340277777556,False,0.0
WO-04559,ITEM-02932,1,274.0,302.0,274.0,276.13975694444446,2.139756944444457,False,0.0
WO-05500,ITEM-00846,8,272.0,286.0,272.0,276.19895833333334,4.198958333333337,False,0.0
WO-03533,ITEM-01742,150,252.0,308.0,252.0,276.3041666666667,24.304166666666674,False,0.0
WO-04399,ITEM-01453,30,268.0,296.0,268.0,276.4286458333331,8.428645833333121,False,0.0
WO-07019,ITEM-01406,10,254.0,317.0,254.0,277.0625,23.0625,False,0.0
WO-06787,ITEM-03727,1,247.0,289.0,247.0,277.0625,30.0625,False,0.0
WO-04369,ITEM-00371,18,267.0,281.0,267.0,277.25197916666644,10.251979166666445,False,0.0
WO-03641,ITEM-01335,10,271.0,299.0,271.0,277.6564236111108,6.656423611110824,False,0.0
WO-04872,ITEM-01596,18,268.0,296.0,268.0,277.7631944444442,9.763194444444196,False,0.0
WO-06618,ITEM-03649,72,272.0,300.0,272.0,278.0,6.0,False,0.0
WO-03305,ITEM-00484,30,259.0,301.0,259.0,278.0,19.0,False,0.0
WO-05382,ITEM-01236,6,267.0,302.0,267.0,278.0,11.0,False,0.0
WO-00019,ITEM-00041,29,261.0,303.0,261.0,278.0,17.0,False,0.0
WO-04297,ITEM-00009,1,265.0,307.0,265.0,278.0,13.0,False,0.0
WO-06804,ITEM-00383,2,265.0,307.0,265.0,278.0,13.0,False,0.0
WO-05660,ITEM-01645,26,268.0,324.0,268.0,278.0,10.0,False,0.0
WO-02884,ITEM-01336,10,257.0,313.0,257.0,280.0,23.0,False,0.0
WO-00856,ITEM-00865,10,265.0,307.0,265.0,280.0,15.0,False,0.0
WO-04515,ITEM-02600,1,247.0,310.0,247.0,280.0,33.0,False,0.0
WO-05498,ITEM-02530,12,244.0,314.0,244.0,280.0,36.0,False,0.0
WO-03148,ITEM-00896,10,240.0,275.0,240.0,280.0,40.0,True,5.0
WO-03527,ITEM-01851,9,261.0,282.0,261.0,280.0,19.0,False,0.0
WO-00326,ITEM-00345,45,272.0,293.0,272.0,280.0,8.0,False,0.0
WO-05509,ITEM-00233,12,254.0,303.0,254.0,280.0,26.0,False,0.0
WO-06259,ITEM-02611,108,266.0,308.0,266.0,280.0,14.0,False,0.0
WO-06917,ITEM-03801,1,268.0,310.0,268.0,280.0,12.0,False,0.0
WO-05334,ITEM-03240,1,268.0,310.0,268.0,280.0,12.0,False,0.0
WO-01327,ITEM-01159,15,265.0,314.0,265.0,280.0,15.0,False,0.0
WO-06601,ITEM-01189,10,265.0,314.0,265.0,280.0,15.0,False,0.0
WO-05187,ITEM-00269,20,266.0,315.0,266.0,280.0,14.0,False,0.0
WO-05607,ITEM-02635,6,264.0,320.0,264.0,280.0,16.0,False,0.0
WO-04691,ITEM-03021,1,275.0,296.0,275.0,280.0,5.0,False,0.0
WO-06994,ITEM-02638,4,271.0,327.0,271.0,280.03125,9.03125,False,0.0
WO-01251,ITEM-00158,30,268.0,289.0,268.0,280.03125,12.03125,False,0.0
WO-02945,ITEM-00676,5,258.0,328.0,258.0,280.03125,22.03125,False,0.0
WO-06272,ITEM-00888,2,265.0,307.0,265.0,280.03125,15.03125,False,0.0
WO-02644,ITEM-00614,2,260.0,337.0,260.0,280.03125,20.03125,False,0.0
WO-05768,ITEM-02229,6,261.0,338.0,261.0,280.03125,19.03125,False,0.0
WO-05807,ITEM-00615,6,261.0,338.0,261.0,280.03125,19.03125,False,0.0
WO-03949,ITEM-00811,62,259.0,343.0,259.0,280.03125,21.03125,False,0.0
WO-06560,ITEM-01326,4,261.0,362.0,261.0,280.03125,19.03125,False,0.0
WO-04324,ITEM-01175,12,253.0,288.0,253.0,280.0314236111111,27.03142361111111,False,0.0
WO-06806,ITEM-03739,1,265.0,307.0,265.0,280.0314236111111,15.031423611111109,False,0.0
WO-05512,ITEM-00130,12,261.0,310.0,261.0,280.0314236111111,19.03142361111111,False,0.0
WO-06206,ITEM-01403,4,254.0,331.0,254.0,280.0314236111111,26.03142361111111,False,0.0
WO-06877,ITEM-01134,15,237.0,394.0,237.0,280.0317361111111,43.031736111111115,False,0.0
WO-05118,ITEM-02131,10,273.0,301.0,273.0,280.0418402777778,7.041840277777794,False,0.0
WO-07053,ITEM-03526,5,261.0,310.0,261.0,280.0835069444444,19.083506944444423,False,0.0
WO-04656,ITEM-00303,35,260.0,288.0,260.0,280.0925347222222,20.092534722222183,False,0.0
